X,Y,Z,C
107,147.622,-29,90
107,147.623,-28.8,90
107,147.625,-28.6,90
107,147.628,-28.4,90
107,147.633,-28.2,90
107,147.639,-28,90
107,147.646,-27.8,90
107,147.655,-27.601,90
107,147.665,-27.401,90
107,147.676,-27.201,90
107,147.689,-27.001,90
107,147.703,-26.802,90
107,147.718,-26.603,90
107,147.735,-26.403,90
107,147.753,-26.204,90
107,147.772,-26.005,90
107,147.793,-25.806,90
107,147.815,-25.607,90
107,147.838,-25.409,90
107,147.863,-25.21,90
107,147.889,-25.012,90
107,147.916,-24.814,90
107,147.944,-24.616,90
107,147.974,-24.418,90
107,148.005,-24.22,90
107,148.038,-24.023,90
107,148.072,-23.826,90
107,148.107,-23.629,90
107,148.143,-23.432,90
107,148.181,-23.236,90
107,148.22,-23.04,90
107,148.261,-22.844,90
107,148.302,-22.648,90
107,148.345,-22.453,90
107,148.39,-22.258,90
107,148.435,-22.063,90
107,148.482,-21.869,90
107,148.53,-21.675,90
107,148.58,-21.481,90
107,148.631,-21.288,90
107,148.683,-21.094,90
107,148.736,-20.902,90
107,148.791,-20.709,90
107,148.847,-20.517,90
107,148.904,-20.326,90
107,148.962,-20.134,90
107,149.022,-19.944,90
107,149.083,-19.753,90
107,149.145,-19.563,90
107,149.209,-19.373,90
107,149.274,-19.184,90
107,149.34,-18.995,90
107,149.407,-18.807,90
107,149.476,-18.619,90
107,149.545,-18.432,90
107,149.616,-18.245,90
107,149.689,-18.058,90
107,149.762,-17.872,90
107,149.837,-17.687,90
107,149.913,-17.502,90
107,149.99,-17.317,90
107,150.069,-17.133,90
107,150.149,-16.95,90
107,150.23,-16.767,90
107,150.312,-16.585,90
107,150.395,-16.403,90
107,150.48,-16.222,90
107,150.566,-16.041,90
107,150.653,-15.861,90
107,150.741,-15.682,90
107,150.83,-15.503,90
107,150.921,-15.324,90
107,151.012,-15.147,90
107,151.105,-14.97,90
107,151.2,-14.793,90
107,151.295,-14.617,90
107,151.391,-14.442,90
107,151.489,-14.267,90
107,151.588,-14.094,90
107,151.688,-13.92,90
107,151.789,-13.748,90
107,151.891,-13.576,90
107,151.994,-13.405,90
107,152.099,-13.234,90
107,152.205,-13.064,90
107,152.311,-12.895,90
107,152.419,-12.727,90
107,152.528,-12.559,90
107,152.639,-12.392,90
107,152.75,-12.226,90
107,152.862,-12.061,90
107,152.976,-11.896,90
107,153.09,-11.732,90
107,153.206,-11.569,90
107,153.323,-11.407,90
107,153.441,-11.245,90
107,153.559,-11.084,90
107,153.679,-10.924,90
107,153.8,-10.765,90
107,153.923,-10.606,90
107,154.046,-10.449,90
107,154.17,-10.292,90
107,154.295,-10.136,90
107,154.421,-9.981,90
107,154.549,-9.827,90
107,154.677,-9.673,90
107,154.806,-9.521,90
107,154.937,-9.369,90
107,155.068,-9.218,90
107,155.201,-9.069,90
107,155.334,-8.92,90
107,155.468,-8.771,90
107,155.604,-8.624,90
107,155.74,-8.478,90
107,155.877,-8.332,90
107,156.015,-8.188,90
107,156.155,-8.044,90
107,156.295,-7.902,90
107,156.436,-7.76,90
107,156.578,-7.619,90
107,156.721,-7.479,90
107,156.865,-7.34,90
107,157.01,-7.203,90
107,157.156,-7.066,90
107,157.302,-6.93,90
107,157.45,-6.795,90
107,157.598,-6.661,90
107,157.748,-6.528,90
107,157.898,-6.396,90
107,158.049,-6.265,90
107,158.201,-6.135,90
107,158.354,-6.006,90
107,158.508,-5.878,90
107,158.662,-5.751,90
107,158.818,-5.625,90
107,158.974,-5.5,90
107,159.131,-5.376,90
107,159.289,-5.254,90
107,159.448,-5.132,90
107,159.607,-5.011,90
107,159.768,-4.892,90
107,159.929,-4.773,90
107,160.091,-4.656,90
107,160.253,-4.54,90
107,160.417,-4.424,90
107,160.581,-4.31,90
107,160.746,-4.197,90
107,160.912,-4.085,90
107,161.078,-3.974,90
107,161.245,-3.864,90
107,161.413,-3.756,90
107,161.582,-3.648,90
107,161.751,-3.542,90
107,161.921,-3.437,90
107,162.092,-3.333,90
107,162.264,-3.23,90
107,162.436,-3.128,90
107,162.609,-3.027,90
107,162.782,-2.928,90
107,162.956,-2.829,90
107,163.131,-2.732,90
107,163.306,-2.636,90
