X,Y,Z,C
107,-125.378,150,90
107,-125.378,149.8,90
107,-125.377,149.6,90
107,-125.376,149.4,90
107,-125.375,149.2,90
107,-125.373,149,90
107,-125.372,148.8,90
107,-125.369,148.6,90
107,-125.367,148.4,90
107,-125.364,148.2,90
107,-125.361,148,90
107,-125.357,147.8,90
107,-125.353,147.6,90
107,-125.349,147.4,90
107,-125.345,147.2,90
107,-125.34,147,90
107,-125.334,146.8,90
107,-125.329,146.6,90
107,-125.323,146.401,90
107,-125.316,146.201,90
107,-125.31,146.001,90
107,-125.303,145.801,90
107,-125.295,145.601,90
107,-125.288,145.401,90
107,-125.28,145.201,90
107,-125.271,145.002,90
107,-125.263,144.802,90
107,-125.254,144.602,90
107,-125.244,144.402,90
107,-125.234,144.202,90
107,-125.224,144.003,90
107,-125.214,143.803,90
107,-125.203,143.603,90
107,-125.192,143.404,90
107,-125.18,143.204,90
107,-125.168,143.004,90
107,-125.156,142.805,90
107,-125.143,142.605,90
107,-125.13,142.405,90
107,-125.117,142.206,90
107,-125.103,142.006,90
107,-125.089,141.807,90
107,-125.075,141.607,90
107,-125.06,141.408,90
107,-125.045,141.208,90
107,-125.03,141.009,90
107,-125.014,140.81,90
107,-124.998,140.61,90
107,-124.981,140.411,90
107,-124.964,140.212,90
107,-124.947,140.012,90
107,-124.929,139.813,90
107,-124.911,139.614,90
107,-124.893,139.415,90
107,-124.874,139.216,90
107,-124.855,139.017,90
107,-124.836,138.818,90
107,-124.816,138.619,90
107,-124.796,138.42,90
107,-124.775,138.221,90
107,-124.755,138.022,90
107,-124.733,137.823,90
107,-124.712,137.624,90
107,-124.69,137.425,90
107,-124.668,137.227,90
107,-124.645,137.028,90
107,-124.622,136.829,90
107,-124.598,136.631,90
107,-124.575,136.432,90
107,-124.55,136.233,90
107,-124.526,136.035,90
107,-124.501,135.836,90
107,-124.476,135.638,90
107,-124.45,135.44,90
107,-124.424,135.241,90
107,-124.398,135.043,90
107,-124.371,134.845,90
107,-124.344,134.647,90
107,-124.317,134.449,90
107,-124.289,134.251,90
107,-124.261,134.053,90
107,-124.232,133.855,90
107,-124.203,133.657,90
107,-124.174,133.459,90
107,-124.144,133.261,90
107,-124.114,133.063,90
107,-124.084,132.866,90
107,-124.053,132.668,90
107,-124.022,132.471,90
107,-123.991,132.273,90
107,-123.959,132.076,90
107,-123.926,131.878,90
107,-123.894,131.681,90
107,-123.861,131.484,90
107,-123.827,131.286,90
107,-123.794,131.089,90
107,-123.76,130.892,90
107,-123.725,130.695,90
107,-123.69,130.498,90
107,-123.655,130.301,90
107,-123.62,130.105,90
107,-123.584,129.908,90
107,-123.547,129.711,90
107,-123.511,129.515,90
107,-123.474,129.318,90
107,-123.436,129.122,90
107,-123.398,128.925,90
107,-123.36,128.729,90
107,-123.322,128.533,90
107,-123.283,128.336,90
107,-123.244,128.14,90
107,-123.204,127.944,90
107,-123.164,127.748,90
107,-123.123,127.552,90
107,-123.083,127.357,90
107,-123.042,127.161,90
107,-123,126.965,90
107,-122.958,126.77,90
107,-122.916,126.574,90
107,-122.873,126.379,90
107,-122.83,126.183,90
107,-122.787,125.988,90
107,-122.743,125.793,90
107,-122.699,125.598,90
107,-122.655,125.403,90
107,-122.61,125.208,90
107,-122.565,125.013,90
107,-122.519,124.818,90
107,-122.473,124.624,90
107,-122.427,124.429,90
107,-122.38,124.235,90
107,-122.333,124.04,90
107,-122.286,123.846,90
107,-122.238,123.652,90
107,-122.19,123.458,90
107,-122.141,123.264,90
107,-122.092,123.07,90
107,-122.043,122.876,90
107,-121.994,122.682,90
107,-121.944,122.489,90
107,-121.893,122.295,90
107,-121.843,122.102,90
107,-121.791,121.908,90
107,-121.74,121.715,90
107,-121.688,121.522,90
107,-121.636,121.329,90
107,-121.583,121.136,90
107,-121.531,120.943,90
107,-121.477,120.75,90
107,-121.424,120.557,90
107,-121.37,120.365,90
107,-121.315,120.172,90
107,-121.261,119.98,90
107,-121.205,119.788,90
107,-121.15,119.596,90
107,-121.094,119.403,90
107,-121.038,119.212,90
107,-120.981,119.02,90
107,-120.925,118.828,90
107,-120.867,118.636,90
107,-120.81,118.445,90
107,-120.752,118.253,90
107,-120.693,118.062,90
107,-120.635,117.871,90
107,-120.576,117.68,90
107,-120.516,117.489,90
107,-120.456,117.298,90
107,-120.396,117.107,90
107,-120.336,116.917,90
107,-120.275,116.726,90
107,-120.214,116.536,90
107,-120.152,116.345,90
107,-120.09,116.155,90
107,-120.028,115.965,90
107,-119.965,115.775,90
107,-119.902,115.585,90
107,-119.839,115.396,90
107,-119.775,115.206,90
107,-119.711,115.017,90
107,-119.647,114.827,90
107,-119.582,114.638,90
107,-119.517,114.449,90
107,-119.452,114.26,90
107,-119.386,114.071,90
107,-119.32,113.882,90
107,-119.253,113.694,90
107,-119.186,113.505,90
107,-119.119,113.317,90
107,-119.052,113.129,90
